metric,sn,scan_id,scan_processed_date,mean,median,min,max
Anode Overhang (All) (mm),LH1T-81,2368,2/2/2024 9:59,0.556,0.5576,0.328,0.80377
Cathode Width (mm),LH1T-81,2368,2/2/2024 9:59,64.024,64.04202,63.8452,64.14061
Core Area (mm²),LH1T-82,2369,2/2/2024 10:08,12.749,12.75476,12.67272,12.86167
Anode Overhang (All) (mm),LH1T-82,2369,2/2/2024 10:08,0.566,0.56145,0.4428,0.68958
Cathode Width (mm),LH1T-82,2369,2/2/2024 10:08,64.027,64.042,63.84522,64.15681
Core Area (mm²),LH1T-83,2370,2/2/2024 10:17,12.509,12.50476,12.43147,12.6426
Anode Overhang (All) (mm),LH1T-83,2370,2/2/2024 10:17,0.561,0.55977,0.3936,0.72624
Cathode Width (mm),LH1T-83,2370,2/2/2024 10:17,64.031,64.04209,63.84525,64.15682
Core Area (mm²),LH1T-84,2371,2/2/2024 10:36,12.686,12.68496,12.63345,12.77681
Anode Overhang (All) (mm),LH1T-84,2371,2/2/2024 10:36,0.562,0.55784,0.4428,0.68958
Cathode Width (mm),LH1T-84,2371,2/2/2024 10:36,64.028,64.04208,63.89441,64.1405
Core Area (mm²),LH1T-85,2372,2/2/2024 10:46,12.351,12.36033,12.27937,12.39919
Anode Overhang (All) (mm),LH1T-85,2372,2/2/2024 10:46,0.56,0.56145,0.46037,0.6732
Cathode Width (mm),LH1T-85,2372,2/2/2024 10:46,64.032,64.04203,63.86161,64.15685
Core Area (mm²),LH1T-86,2373,2/2/2024 10:55,12.562,12.56124,12.51108,12.59943
Anode Overhang (All) (mm),LH1T-86,2373,2/2/2024 10:55,0.562,0.574,0.4264,0.70596
Cathode Width (mm),LH1T-86,2373,2/2/2024 10:55,64.025,64.04203,63.84522,64.14048
Core Area (mm²),LH1T-87,2374,2/2/2024 11:05,12.737,12.73472,12.63561,12.85952
Anode Overhang (All) (mm),LH1T-87,2374,2/2/2024 11:05,0.558,0.55007,0.4592,0.6732
Cathode Width (mm),LH1T-87,2374,2/2/2024 11:05,64.037,64.05843,63.8616,64.1569
Anode Overhang (All) (mm),LH1T-88,2375,2/2/2024 11:14,0.575,0.5761,0.3936,0.75458
Cathode Width (mm),LH1T-88,2375,2/2/2024 11:14,64.023,64.04203,63.84522,64.1407
Core Area (mm²),LH1T-88,2375,2/2/2024 11:14,12.678,12.67622,12.58289,12.80653
Anode Overhang (All) (mm),LH1T-89,2376,2/2/2024 11:23,0.563,0.574,0.41033,0.72328
Cathode Width (mm),LH1T-89,2376,2/2/2024 11:23,64.031,64.04201,63.8616,64.15685
Core Area (mm²),LH1T-89,2376,2/2/2024 11:23,12.35,12.35078,12.31877,12.37673
Core Area (mm²),LH1T-90,2377,2/2/2024 11:33,12.431,12.43241,12.38951,12.47584
Anode Overhang (All) (mm),LH1T-90,2377,2/2/2024 11:33,0.563,0.574,0.41033,0.72328
Cathode Width (mm),LH1T-90,2377,2/2/2024 11:33,64.021,64.042,63.8616,64.14053
Core Area (mm²),LH1T-91,2378,2/2/2024 11:42,12.808,12.80344,12.71414,12.91788
Anode Overhang (All) (mm),LH1T-91,2378,2/2/2024 11:42,0.571,0.57423,0.45033,0.68508
Cathode Width (mm),LH1T-91,2378,2/2/2024 11:42,64.025,64.04202,63.878,64.14065
