metric,sn,scan_id,scan_processed_date,mean,median,min,max
Anode Overhang (Top) (mm),LLAQ21T036966,1786,1/24/2024 21:20,0.738,0.73792,0.63425,0.8357
Anode Overhang (Bottom) (mm),LLAQ21T036966,1786,1/24/2024 21:20,0.709,0.70575,0.6048,0.83532
Cathode Width (mm),LLAQ21T036966,1786,1/24/2024 21:20,57.896,57.88809,57.7728,58.00324
Core Area (mm²),KLAQ34T029044,1787,1/24/2024 21:29,12.999,13.008,12.87623,13.12278
Anode Overhang (All) (mm),KLAQ34T029044,1787,1/24/2024 21:29,0.716,0.72,0.64864,0.78093
Anode Overhang (Top) (mm),KLAQ34T029044,1787,1/24/2024 21:29,0.691,0.69135,0.64864,0.73454
Anode Overhang (Bottom) (mm),KLAQ34T029044,1787,1/24/2024 21:29,0.741,0.73666,0.6912,0.78093
Cathode Width (mm),KLAQ34T029044,1787,1/24/2024 21:29,57.928,57.9312,57.78721,58.03201
Core Area (mm²),KLAQ31T068978,1788,1/24/2024 21:39,13.158,13.14579,13.10754,13.25559
Anode Overhang (All) (mm),KLAQ31T068978,1788,1/24/2024 21:39,0.712,0.70926,0.576,0.85009
Anode Overhang (Top) (mm),KLAQ31T068978,1788,1/24/2024 21:39,0.743,0.73454,0.66068,0.85009
Anode Overhang (Bottom) (mm),KLAQ31T068978,1788,1/24/2024 21:39,0.682,0.69255,0.576,0.74935
Cathode Width (mm),KLAQ31T068978,1788,1/24/2024 21:39,57.914,57.91682,57.75844,58.0179
Core Area (mm²),KLAQ34T029045,1789,1/24/2024 21:48,13.435,13.43548,13.3827,13.49063
Anode Overhang (All) (mm),KLAQ34T029045,1789,1/24/2024 21:48,0.719,0.73567,0.57329,0.85556
Anode Overhang (Top) (mm),KLAQ34T029045,1789,1/24/2024 21:48,0.652,0.64944,0.57329,0.72058
Anode Overhang (Bottom) (mm),KLAQ34T029045,1789,1/24/2024 21:48,0.784,0.77813,0.72014,0.85556
Cathode Width (mm),KLAQ34T029045,1789,1/24/2024 21:48,57.916,57.9312,57.77282,58.032
Core Area (mm²),KLAQ34T029074,1790,1/24/2024 21:58,13.188,13.18903,13.13221,13.23206
Anode Overhang (All) (mm),KLAQ34T029074,1790,1/24/2024 21:58,0.715,0.72,0.59477,0.82884
Anode Overhang (Top) (mm),KLAQ34T029074,1790,1/24/2024 21:58,0.7,0.70575,0.59477,0.79252
Anode Overhang (Bottom) (mm),KLAQ34T029074,1790,1/24/2024 21:58,0.73,0.72129,0.648,0.82884
Cathode Width (mm),KLAQ34T029074,1790,1/24/2024 21:58,57.93,57.9456,57.7728,58.03202
Core Area (mm²),KLAQ34T029135,1791,1/24/2024 22:07,13.266,13.26606,13.19172,13.34216
Anode Overhang (All) (mm),KLAQ34T029135,1791,1/24/2024 22:07,0.717,0.71474,0.55192,0.864
Anode Overhang (Top) (mm),KLAQ34T029135,1791,1/24/2024 22:07,0.629,0.61987,0.55192,0.69494
Anode Overhang (Bottom) (mm),KLAQ34T029135,1791,1/24/2024 22:07,0.805,0.80653,0.73454,0.864
Cathode Width (mm),KLAQ34T029135,1791,1/24/2024 22:07,57.923,57.9312,57.7872,58.01769
Core Area (mm²),LLAQ33T068703,1792,1/24/2024 22:17,12.96,12.95513,12.87229,13.12921
Anode Overhang (All) (mm),LLAQ33T068703,1792,1/24/2024 22:17,0.725,0.72129,0.6192,0.82533
Anode Overhang (Top) (mm),LLAQ33T068703,1792,1/24/2024 22:17,0.746,0.7223,0.648,0.82533
Anode Overhang (Bottom) (mm),LLAQ33T068703,1792,1/24/2024 22:17,0.705,0.72014,0.6192,0.80653
Cathode Width (mm),LLAQ33T068703,1792,1/24/2024 22:17,57.897,57.88816,57.75842,58.01761
Core Area (mm²),KLAQ31T085057,1793,1/24/2024 22:26,13.243,13.2501,13.17057,13.32464
Anode Overhang (All) (mm),KLAQ31T085057,1793,1/24/2024 22:26,0.709,0.69877,0.5184,0.87887
Anode Overhang (Top) (mm),KLAQ31T085057,1793,1/24/2024 22:26,0.802,0.79839,0.68108,0.87887
