metric,sn,scan_id,scan_processed_date,mean,median,min,max
Cathode Width (mm),KLAQ31T084927,1868,1/25/2024 11:06,57.899,57.9024,57.7584,57.98902
Core Area (mm²),KLAQ31T084927,1868,1/25/2024 11:06,13.028,13.03548,12.9713,13.06689
Core Area (mm²),KLAQ23T065323,1869,1/25/2024 11:15,13.361,13.3657,13.30857,13.41163
Anode Overhang (All) (mm),KLAQ23T065323,1869,1/25/2024 11:15,0.714,0.72,0.576,0.83532
Anode Overhang (Top) (mm),KLAQ23T065323,1869,1/25/2024 11:15,0.775,0.77933,0.67818,0.83532
Anode Overhang (Bottom) (mm),KLAQ23T065323,1869,1/25/2024 11:15,0.651,0.65055,0.576,0.74935
Cathode Width (mm),KLAQ23T065323,1869,1/25/2024 11:15,57.895,57.88818,57.75841,58.00322
Core Area (mm²),KLAQ33T010499,1870,1/25/2024 11:25,13.009,13.01236,12.97286,13.04844
Anode Overhang (All) (mm),KLAQ33T010499,1870,1/25/2024 11:25,0.721,0.70926,0.576,0.87887
Anode Overhang (Top) (mm),KLAQ33T010499,1870,1/25/2024 11:25,0.788,0.77813,0.65199,0.87887
Anode Overhang (Bottom) (mm),KLAQ33T010499,1870,1/25/2024 11:25,0.658,0.66801,0.576,0.74129
Cathode Width (mm),KLAQ33T010499,1870,1/25/2024 11:25,57.886,57.88804,57.7296,58.00329
Core Area (mm²),KLAQ31T085040,1871,1/25/2024 11:34,13.165,13.16498,13.11345,13.2248
Anode Overhang (All) (mm),KLAQ31T085040,1871,1/25/2024 11:34,0.712,0.70575,0.5472,0.86412
Anode Overhang (Top) (mm),KLAQ31T085040,1871,1/25/2024 11:34,0.782,0.77773,0.66256,0.86412
Anode Overhang (Bottom) (mm),KLAQ31T085040,1871,1/25/2024 11:34,0.64,0.65373,0.5472,0.73454
Cathode Width (mm),KLAQ31T085040,1871,1/25/2024 11:34,57.903,57.90244,57.75841,58.01786
Core Area (mm²),KLAQ33T007742,1872,1/25/2024 11:43,13.479,13.46689,13.41619,13.59151
Anode Overhang (All) (mm),KLAQ33T007742,1872,1/25/2024 11:43,0.728,0.72058,0.60754,0.8357
Anode Overhang (Top) (mm),KLAQ33T007742,1872,1/25/2024 11:43,0.772,0.7776,0.7056,0.8357
Anode Overhang (Bottom) (mm),KLAQ33T007742,1872,1/25/2024 11:43,0.683,0.6912,0.60754,0.82093
Cathode Width (mm),KLAQ33T007742,1872,1/25/2024 11:43,57.873,57.87384,57.7296,57.96003
Core Area (mm²),KLAQ33T013248,1873,1/25/2024 11:53,13.231,13.22718,13.19432,13.30328
Anode Overhang (All) (mm),KLAQ33T013248,1873,1/25/2024 11:53,0.726,0.7344,0.5616,0.87887
Anode Overhang (Top) (mm),KLAQ33T013248,1873,1/25/2024 11:53,0.775,0.77773,0.6768,0.87887
Anode Overhang (Bottom) (mm),KLAQ33T013248,1873,1/25/2024 11:53,0.677,0.67741,0.5616,0.77813
Cathode Width (mm),KLAQ33T013248,1873,1/25/2024 11:53,57.879,57.87361,57.70082,58.00321
Core Area (mm²),LLAQ21T036883,1874,1/25/2024 12:02,13.243,13.23216,13.16435,13.32309
Anode Overhang (All) (mm),LLAQ21T036883,1874,1/25/2024 12:02,0.72,0.72014,0.59477,0.8383
Anode Overhang (Top) (mm),LLAQ21T036883,1874,1/25/2024 12:02,0.695,0.69494,0.6048,0.8357
Anode Overhang (Bottom) (mm),LLAQ21T036883,1874,1/25/2024 12:02,0.744,0.7488,0.59477,0.8383
Cathode Width (mm),LLAQ21T036883,1874,1/25/2024 12:02,57.903,57.9168,57.75841,58.01786
Anode Overhang (All) (mm),KLAQ33T013311,1875,1/25/2024 12:12,0.729,0.7344,0.4752,0.96523
Anode Overhang (Top) (mm),KLAQ33T013311,1875,1/25/2024 12:12,0.805,0.82093,0.6768,0.96523
Anode Overhang (Bottom) (mm),KLAQ33T013311,1875,1/25/2024 12:12,0.651,0.63425,0.4752,0.79213
Cathode Width (mm),KLAQ33T013311,1875,1/25/2024 12:12,57.885,57.88802,57.7152,58.00323
Core Area (mm²),KLAQ33T013311,1875,1/25/2024 12:12,13.314,13.31645,13.25487,13.37399
Core Area (mm²),KLAQ34T022490,1876,1/25/2024 12:21,13.484,13.45912,13.39017,13.62946
Anode Overhang (All) (mm),KLAQ34T022490,1876,1/25/2024 12:21,0.715,0.72,0.648,0.78239
Anode Overhang (Top) (mm),KLAQ34T022490,1876,1/25/2024 12:21,0.714,0.70619,0.64864,0.77813
Anode Overhang (Bottom) (mm),KLAQ34T022490,1876,1/25/2024 12:21,0.716,0.72058,0.648,0.78239
Cathode Width (mm),KLAQ34T022490,1876,1/25/2024 12:21,57.937,57.94571,57.744,58.0464
Core Area (mm²),KLAQ33T007772,1877,1/25/2024 12:31,13.291,13.28276,13.21733,13.43641
Anode Overhang (All) (mm),KLAQ33T007772,1877,1/25/2024 12:31,0.729,0.7344,0.576,0.87887
Anode Overhang (Top) (mm),KLAQ33T007772,1877,1/25/2024 12:31,0.759,0.76442,0.58758,0.87887
Anode Overhang (Bottom) (mm),KLAQ33T007772,1877,1/25/2024 12:31,0.697,0.69135,0.576,0.80653
Cathode Width (mm),KLAQ33T007772,1877,1/25/2024 12:31,57.873,57.87363,57.7008,58.0036
Core Area (mm²),KLAQ31T084928,1878,1/25/2024 12:40,12.972,12.97182,12.91936,13.00562
Anode Overhang (All) (mm),KLAQ31T084928,1878,1/25/2024 12:40,0.713,0.70619,0.5616,0.86412
Anode Overhang (Top) (mm),KLAQ31T084928,1878,1/25/2024 12:40,0.781,0.77773,0.6912,0.86412
Anode Overhang (Bottom) (mm),KLAQ31T084928,1878,1/25/2024 12:40,0.644,0.65373,0.5616,0.72129
Cathode Width (mm),KLAQ31T084928,1878,1/25/2024 12:40,57.902,57.91682,57.75858,58.01763
Core Area (mm²),KLAQ33T007848,1879,1/25/2024 12:49,13.292,13.28255,13.21993,13.41733
Anode Overhang (All) (mm),KLAQ33T007848,1879,1/25/2024 12:49,0.727,0.72359,0.6048,0.83632
Anode Overhang (Top) (mm),KLAQ33T007848,1879,1/25/2024 12:49,0.726,0.7218,0.6048,0.83632
Anode Overhang (Bottom) (mm),KLAQ33T007848,1879,1/25/2024 12:49,0.727,0.72517,0.6048,0.83632
Cathode Width (mm),KLAQ33T007848,1879,1/25/2024 12:49,57.876,57.87371,57.7008,57.9892
Core Area (mm²),LLAQ21T072831,1880,1/25/2024 12:59,13.307,13.30691,13.26316,13.37856
Anode Overhang (All) (mm),LLAQ21T072831,1880,1/25/2024 12:59,0.716,0.71287,0.48981,0.93611
Anode Overhang (Top) (mm),LLAQ21T072831,1880,1/25/2024 12:59,0.606,0.60549,0.48981,0.69135
Anode Overhang (Bottom) (mm),LLAQ21T072831,1880,1/25/2024 12:59,0.826,0.8352,0.7344,0.93611
Cathode Width (mm),LLAQ21T072831,1880,1/25/2024 12:59,57.91,57.90255,57.75841,58.018
Core Area (mm²),KLAQ33T007756,1881,1/25/2024 13:08,13.257,13.24968,13.18053,13.36715
Anode Overhang (All) (mm),KLAQ33T007756,1881,1/25/2024 13:08,0.729,0.7344,0.56583,0.87852
Anode Overhang (Top) (mm),KLAQ33T007756,1881,1/25/2024 13:08,0.778,0.77773,0.56583,0.87852
Anode Overhang (Bottom) (mm),KLAQ33T007756,1881,1/25/2024 13:08,0.676,0.67695,0.576,0.79252
Cathode Width (mm),KLAQ33T007756,1881,1/25/2024 13:08,57.878,57.88801,57.7152,57.98906
Core Area (mm²),LLAQ21T072796,1882,1/25/2024 13:18,13.341,13.33563,13.28348,13.42532
Anode Overhang (All) (mm),LLAQ21T072796,1882,1/25/2024 13:18,0.716,0.7344,0.504,0.937
Anode Overhang (Top) (mm),LLAQ21T072796,1882,1/25/2024 13:18,0.616,0.62337,0.504,0.70619
Anode Overhang (Bottom) (mm),LLAQ21T072796,1882,1/25/2024 13:18,0.815,0.80756,0.72014,0.937
Cathode Width (mm),LLAQ21T072796,1882,1/25/2024 13:18,57.909,57.90278,57.7584,58.01762
Anode Overhang (All) (mm),KLAQ33T013244,1883,1/25/2024 13:27,0.725,0.72014,0.5472,0.90766
Anode Overhang (Top) (mm),KLAQ33T013244,1883,1/25/2024 13:27,0.787,0.792,0.67695,0.90766
Anode Overhang (Bottom) (mm),KLAQ33T013244,1883,1/25/2024 13:27,0.665,0.6649,0.5472,0.76334
Cathode Width (mm),KLAQ33T013244,1883,1/25/2024 13:27,57.871,57.888,57.72962,57.96002
Core Area (mm²),KLAQ33T013244,1883,1/25/2024 13:27,13.278,13.28898,13.19442,13.3573
Core Area (mm²),KLAQ33T013263,1884,1/25/2024 13:37,13.377,13.36746,13.30588,13.47
Anode Overhang (All) (mm),KLAQ33T013263,1884,1/25/2024 13:37,0.725,0.73454,0.4752,0.95084
Anode Overhang (Top) (mm),KLAQ33T013263,1884,1/25/2024 13:37,0.792,0.80768,0.63376,0.95084
Anode Overhang (Bottom) (mm),KLAQ33T013263,1884,1/25/2024 13:37,0.656,0.63621,0.4752,0.80653
Cathode Width (mm),KLAQ33T013263,1884,1/25/2024 13:37,57.887,57.87362,57.7008,57.98881
Core Area (mm²),KLAQ34T029237,1885,1/25/2024 13:46,13.134,13.13584,13.05134,13.22044
Anode Overhang (All) (mm),KLAQ34T029237,1885,1/25/2024 13:46,0.718,0.72014,0.56234,0.85556
Anode Overhang (Top) (mm),KLAQ34T029237,1885,1/25/2024 13:46,0.649,0.648,0.56234,0.70926
Anode Overhang (Bottom) (mm),KLAQ34T029237,1885,1/25/2024 13:46,0.786,0.792,0.70575,0.85556
Cathode Width (mm),KLAQ34T029237,1885,1/25/2024 13:46,57.92,57.91698,57.7872,58.03202
Core Area (mm²),KLAQ34T029223,1886,1/25/2024 13:56,13.053,13.06565,12.83704,13.24512
Anode Overhang (All) (mm),KLAQ34T029223,1886,1/25/2024 13:56,0.713,0.71475,0.5328,0.90766
Anode Overhang (Top) (mm),KLAQ34T029223,1886,1/25/2024 13:56,0.61,0.6192,0.5328,0.6663
Anode Overhang (Bottom) (mm),KLAQ34T029223,1886,1/25/2024 13:56,0.816,0.80691,0.7632,0.90766
Cathode Width (mm),KLAQ34T029223,1886,1/25/2024 13:56,57.924,57.93138,57.77284,58.03211
Anode Overhang (All) (mm),KLAQ33T007740,1887,1/25/2024 14:05,0.725,0.73426,0.576,0.86448
Anode Overhang (Top) (mm),KLAQ33T007740,1887,1/25/2024 14:05,0.734,0.74338,0.59058,0.86448
Anode Overhang (Bottom) (mm),KLAQ33T007740,1887,1/25/2024 14:05,0.716,0.70619,0.576,0.85009
Cathode Width (mm),KLAQ33T007740,1887,1/25/2024 14:05,57.88,57.88802,57.6864,57.98891
Core Area (mm²),KLAQ33T007740,1887,1/25/2024 14:05,13.265,13.24678,13.18302,13.41028
Core Area (mm²),KLAQ33T007865,1888,1/25/2024 14:15,13.279,13.26762,13.22065,13.33449
Anode Overhang (All) (mm),KLAQ33T007865,1888,1/25/2024 14:15,0.726,0.7344,0.504,0.95084
Anode Overhang (Top) (mm),KLAQ33T007865,1888,1/25/2024 14:15,0.789,0.78093,0.66256,0.95084
Anode Overhang (Bottom) (mm),KLAQ33T007865,1888,1/25/2024 14:15,0.663,0.66381,0.504,0.7967
Cathode Width (mm),KLAQ33T007865,1888,1/25/2024 14:15,57.876,57.87378,57.7296,57.97486
Core Area (mm²),KLAQ33T007932,1889,1/25/2024 20:30,13.395,13.37928,13.32972,13.53304
Anode Overhang (All) (mm),KLAQ33T007932,1889,1/25/2024 20:30,0.728,0.7344,0.5904,0.85009
Anode Overhang (Top) (mm),KLAQ33T007932,1889,1/25/2024 20:30,0.756,0.7632,0.66256,0.85009
Anode Overhang (Bottom) (mm),KLAQ33T007932,1889,1/25/2024 20:30,0.698,0.6918,0.5904,0.77813
Cathode Width (mm),KLAQ33T007932,1889,1/25/2024 20:30,57.875,57.88801,57.68641,57.98898
Core Area (mm²),KLAQ23T032105,1890,1/25/2024 15:31,13.409,13.39162,13.34517,13.4982
Anode Overhang (All) (mm),KLAQ23T032105,1890,1/25/2024 15:31,0.711,0.72072,0.5472,0.85009
Anode Overhang (Top) (mm),KLAQ23T032105,1890,1/25/2024 15:31,0.791,0.792,0.67234,0.85009
Anode Overhang (Bottom) (mm),KLAQ23T032105,1890,1/25/2024 15:31,0.631,0.63376,0.5472,0.74935
Cathode Width (mm),KLAQ23T032105,1890,1/25/2024 15:31,57.924,57.91698,57.74401,58.03226
Core Area (mm²),KLAQ33T007802,1891,1/25/2024 15:40,13.237,13.22967,13.18426,13.33999
Anode Overhang (All) (mm),KLAQ33T007802,1891,1/25/2024 15:40,0.726,0.72058,0.5904,0.85009
Anode Overhang (Top) (mm),KLAQ33T007802,1891,1/25/2024 15:40,0.776,0.77773,0.67925,0.85009
Anode Overhang (Bottom) (mm),KLAQ33T007802,1891,1/25/2024 15:40,0.673,0.67741,0.5904,0.74894
Cathode Width (mm),KLAQ33T007802,1891,1/25/2024 15:40,57.873,57.87366,57.7008,57.9888
Core Area (mm²),KLAQ33T007771,1892,1/25/2024 15:49,13.313,13.31251,13.25093,13.41298
Anode Overhang (All) (mm),KLAQ33T007771,1892,1/25/2024 15:49,0.724,0.72058,0.5616,0.87946
Anode Overhang (Top) (mm),KLAQ33T007771,1892,1/25/2024 15:49,0.762,0.75005,0.6768,0.87946
Anode Overhang (Bottom) (mm),KLAQ33T007771,1892,1/25/2024 15:49,0.685,0.6936,0.5616,0.77773
Cathode Width (mm),KLAQ33T007771,1892,1/25/2024 15:49,57.875,57.88801,57.7152,57.98882
Core Area (mm²),KLAQ34T022475,1893,1/25/2024 15:59,13.346,13.33843,13.29903,13.40292
Anode Overhang (All) (mm),KLAQ34T022475,1893,1/25/2024 15:59,0.718,0.72014,0.5904,0.85009
Anode Overhang (Top) (mm),KLAQ34T022475,1893,1/25/2024 15:59,0.78,0.77773,0.68427,0.85009
Anode Overhang (Bottom) (mm),KLAQ34T022475,1893,1/25/2024 15:59,0.659,0.66256,0.5904,0.73666
Cathode Width (mm),KLAQ34T022475,1893,1/25/2024 15:59,57.897,57.90241,57.7584,58.00331
Core Area (mm²),KLAQ33T013180,1894,1/25/2024 16:09,13.309,13.30722,13.24543,13.37275
Anode Overhang (All) (mm),KLAQ33T013180,1894,1/25/2024 16:09,0.724,0.7344,0.576,0.86448
Anode Overhang (Top) (mm),KLAQ33T013180,1894,1/25/2024 16:09,0.747,0.74935,0.6336,0.86448
Anode Overhang (Bottom) (mm),KLAQ33T013180,1894,1/25/2024 16:09,0.7,0.69135,0.576,0.80691
Cathode Width (mm),KLAQ33T013180,1894,1/25/2024 16:09,57.871,57.8736,57.70081,57.98883
Core Area (mm²),KLAQ34T022541,1895,1/25/2024 16:18,13.11,13.11314,13.05746,13.17037
Anode Overhang (All) (mm),KLAQ34T022541,1895,1/25/2024 16:18,0.724,0.72007,0.576,0.87852
Anode Overhang (Top) (mm),KLAQ34T022541,1895,1/25/2024 16:18,0.793,0.79082,0.72,0.87852
Anode Overhang (Bottom) (mm),KLAQ34T022541,1895,1/25/2024 16:18,0.655,0.66256,0.576,0.72359
Cathode Width (mm),KLAQ34T022541,1895,1/25/2024 16:18,57.895,57.8883,57.744,58.00346
Core Area (mm²),KLAQ34T016795,1896,1/25/2024 16:28,13.321,13.32195,13.24999,13.37949
Anode Overhang (All) (mm),KLAQ34T016795,1896,1/25/2024 16:28,0.729,0.72517,0.6192,0.8357
Anode Overhang (Top) (mm),KLAQ34T016795,1896,1/25/2024 16:28,0.721,0.72014,0.6192,0.8357
Anode Overhang (Bottom) (mm),KLAQ34T016795,1896,1/25/2024 16:28,0.736,0.73567,0.6192,0.82131
Cathode Width (mm),KLAQ34T016795,1896,1/25/2024 16:28,57.902,57.90241,57.72962,58.0179
Core Area (mm²),KLAQ33T007839,1897,1/25/2024 16:38,13.315,13.29229,13.21039,13.5037
Anode Overhang (All) (mm),KLAQ33T007839,1897,1/25/2024 16:38,0.728,0.72058,0.5328,0.90766
Anode Overhang (Top) (mm),KLAQ33T007839,1897,1/25/2024 16:38,0.792,0.79252,0.67741,0.90766
Anode Overhang (Bottom) (mm),KLAQ33T007839,1897,1/25/2024 16:38,0.659,0.66256,0.5328,0.7632
Cathode Width (mm),KLAQ33T007839,1897,1/25/2024 16:38,57.876,57.888,57.67203,58.00346
Core Area (mm²),KLAQ33T007918,1898,1/25/2024 16:47,13.484,13.46015,13.41028,13.63734
Anode Overhang (All) (mm),KLAQ33T007918,1898,1/25/2024 16:47,0.725,0.72517,0.6048,0.8357
Anode Overhang (Top) (mm),KLAQ33T007918,1898,1/25/2024 16:47,0.729,0.7344,0.6192,0.8357
Anode Overhang (Bottom) (mm),KLAQ33T007918,1898,1/25/2024 16:47,0.721,0.72014,0.6048,0.82131
Cathode Width (mm),KLAQ33T007918,1898,1/25/2024 16:47,57.891,57.88815,57.672,57.98932
Core Area (mm²),LLAQ21T037061,1899,1/25/2024 16:57,13.353,13.35626,13.28991,13.42096
Anode Overhang (All) (mm),LLAQ21T037061,1899,1/25/2024 16:57,0.722,0.72014,0.61853,0.82131
Anode Overhang (Top) (mm),LLAQ21T037061,1899,1/25/2024 16:57,0.734,0.7344,0.61853,0.82131
Anode Overhang (Bottom) (mm),LLAQ21T037061,1899,1/25/2024 16:57,0.709,0.70926,0.6192,0.7788
Cathode Width (mm),LLAQ21T037061,1899,1/25/2024 16:57,57.9,57.9024,57.72963,58.01761
Core Area (mm²),KLAQ33T007817,1900,1/25/2024 17:07,13.316,13.30785,13.2475,13.45404
Anode Overhang (All) (mm),KLAQ33T007817,1900,1/25/2024 17:07,0.73,0.7344,0.5328,0.92205
Anode Overhang (Top) (mm),KLAQ33T007817,1900,1/25/2024 17:07,0.749,0.7488,0.5911,0.92205
Anode Overhang (Bottom) (mm),KLAQ33T007817,1900,1/25/2024 17:07,0.71,0.70575,0.5328,0.85009
Cathode Width (mm),KLAQ33T007817,1900,1/25/2024 17:07,57.874,57.87395,57.71521,57.98881
Core Area (mm²),KLAQ33T007964,1901,1/25/2024 17:16,13.29,13.28659,13.2193,13.38156
Anode Overhang (All) (mm),KLAQ33T007964,1901,1/25/2024 17:16,0.726,0.72014,0.4896,0.95084
Anode Overhang (Top) (mm),KLAQ33T007964,1901,1/25/2024 17:16,0.802,0.79527,0.50949,0.95084
Anode Overhang (Bottom) (mm),KLAQ33T007964,1901,1/25/2024 17:16,0.648,0.64864,0.4896,0.76374
Cathode Width (mm),KLAQ33T007964,1901,1/25/2024 17:16,57.885,57.88801,57.71522,58.0035
Core Area (mm²),KLAQ23T032296,1902,1/25/2024 17:26,13.394,13.391,13.30173,13.49634
Anode Overhang (All) (mm),KLAQ23T032296,1902,1/25/2024 17:26,0.713,0.72,0.5328,0.87852
Anode Overhang (Top) (mm),KLAQ23T032296,1902,1/25/2024 17:26,0.797,0.79409,0.63572,0.87852
Anode Overhang (Bottom) (mm),KLAQ23T032296,1902,1/25/2024 17:26,0.628,0.62337,0.5328,0.76334
Cathode Width (mm),KLAQ23T032296,1902,1/25/2024 17:26,57.933,57.93121,57.7728,58.04658
Anode Overhang (All) (mm),KLAQ33T013216,1903,1/25/2024 17:36,0.724,0.7344,0.5472,0.89326
Anode Overhang (Top) (mm),KLAQ33T013216,1903,1/25/2024 17:36,0.771,0.76374,0.61853,0.89326
Anode Overhang (Bottom) (mm),KLAQ33T013216,1903,1/25/2024 17:36,0.676,0.67741,0.5472,0.76374
Cathode Width (mm),KLAQ33T013216,1903,1/25/2024 17:36,57.873,57.85935,57.7008,57.98883
Core Area (mm²),KLAQ33T013216,1903,1/25/2024 17:36,13.247,13.25103,13.17068,13.32485
Anode Overhang (All) (mm),KLAQ33T013200,1904,1/25/2024 17:46,0.726,0.7223,0.5904,0.86448
Anode Overhang (Top) (mm),KLAQ33T013200,1904,1/25/2024 17:46,0.738,0.7344,0.61937,0.86448
Anode Overhang (Bottom) (mm),KLAQ33T013200,1904,1/25/2024 17:46,0.714,0.72014,0.5904,0.80653
Cathode Width (mm),KLAQ33T013200,1904,1/25/2024 17:46,57.88,57.88802,57.74401,57.97444
Core Area (mm²),KLAQ33T013200,1904,1/25/2024 17:46,13.227,13.2248,13.19525,13.28877
Core Area (mm²),KLAQ34T029209,1905,1/25/2024 17:55,13.238,13.23361,13.10971,13.34134
Anode Overhang (All) (mm),KLAQ34T029209,1905,1/25/2024 17:55,0.72,0.7272,0.5904,0.85009
Anode Overhang (Top) (mm),KLAQ34T029209,1905,1/25/2024 17:55,0.657,0.66256,0.5904,0.70575
Anode Overhang (Bottom) (mm),KLAQ34T029209,1905,1/25/2024 17:55,0.782,0.77773,0.72,0.85009
Cathode Width (mm),KLAQ34T029209,1905,1/25/2024 17:55,57.928,57.93134,57.7872,58.03204
Core Area (mm²),KLAQ34T016711,1906,1/25/2024 18:05,13.3,13.31065,13.16301,13.42791
Anode Overhang (All) (mm),KLAQ34T016711,1906,1/25/2024 18:05,0.727,0.7223,0.648,0.79982
Anode Overhang (Top) (mm),KLAQ34T016711,1906,1/25/2024 18:05,0.743,0.7488,0.66303,0.79982
Anode Overhang (Bottom) (mm),KLAQ34T016711,1906,1/25/2024 18:05,0.709,0.70619,0.648,0.79213
Cathode Width (mm),KLAQ34T016711,1906,1/25/2024 18:05,57.896,57.90244,57.744,58.01778
Core Area (mm²),KLAQ33T010318,1907,1/25/2024 18:15,13.064,13.06824,13.00987,13.11428
Anode Overhang (All) (mm),KLAQ33T010318,1907,1/25/2024 18:15,0.722,0.70619,0.50421,0.92171
Anode Overhang (Top) (mm),KLAQ33T010318,1907,1/25/2024 18:15,0.826,0.80756,0.50912,0.92171
Anode Overhang (Bottom) (mm),KLAQ33T010318,1907,1/25/2024 18:15,0.618,0.63425,0.50421,0.72014
Cathode Width (mm),KLAQ33T010318,1907,1/25/2024 18:15,57.894,57.88824,57.7296,58.00355
Core Area (mm²),KLAQ34T016760,1908,1/25/2024 18:24,13.149,13.14538,13.08317,13.2221
Anode Overhang (All) (mm),KLAQ34T016760,1908,1/25/2024 18:24,0.712,0.70692,0.61517,0.81675
Anode Overhang (Top) (mm),KLAQ34T016760,1908,1/25/2024 18:24,0.693,0.69135,0.61517,0.80691
Anode Overhang (Bottom) (mm),KLAQ34T016760,1908,1/25/2024 18:24,0.731,0.73567,0.6192,0.81675
Cathode Width (mm),KLAQ34T016760,1908,1/25/2024 18:24,57.921,57.9312,57.7296,58.01786
Core Area (mm²),KLAQ34T016775,1909,1/25/2024 18:34,13.508,13.51293,13.46254,13.55471
Anode Overhang (All) (mm),KLAQ34T016775,1909,1/25/2024 18:34,0.717,0.72,0.5328,0.89326
Anode Overhang (Top) (mm),KLAQ34T016775,1909,1/25/2024 18:34,0.744,0.74935,0.6048,0.89326
Anode Overhang (Bottom) (mm),KLAQ34T016775,1909,1/25/2024 18:34,0.688,0.67818,0.5328,0.82093
Cathode Width (mm),KLAQ34T016775,1909,1/25/2024 18:34,57.908,57.9312,57.7296,58.00346
Core Area (mm²),KLAQ33T007983,1910,1/25/2024 18:44,13.29,13.27508,13.22532,13.4022
Anode Overhang (All) (mm),KLAQ33T007983,1910,1/25/2024 18:44,0.728,0.7344,0.576,0.87887
Anode Overhang (Top) (mm),KLAQ33T007983,1910,1/25/2024 18:44,0.727,0.74575,0.5904,0.87887
Anode Overhang (Bottom) (mm),KLAQ33T007983,1910,1/25/2024 18:44,0.73,0.72,0.576,0.86448
Cathode Width (mm),KLAQ33T007983,1910,1/25/2024 18:44,57.889,57.88804,57.72966,58.00366
Anode Overhang (All) (mm),KLAQ31T084977,1911,1/25/2024 18:53,0.71,0.70092,0.4608,0.92205
Anode Overhang (Top) (mm),KLAQ31T084977,1911,1/25/2024 18:53,0.848,0.83632,0.75129,0.92205
Anode Overhang (Bottom) (mm),KLAQ31T084977,1911,1/25/2024 18:53,0.572,0.59058,0.4608,0.65055
Cathode Width (mm),KLAQ31T084977,1911,1/25/2024 18:53,57.895,57.90246,57.75841,58.00331
Core Area (mm²),KLAQ31T084977,1911,1/25/2024 18:53,13.056,13.0613,12.99629,13.09395
Core Area (mm²),KLAQ33T007886,1912,1/25/2024 19:03,13.421,13.39162,13.32827,13.56508
Anode Overhang (All) (mm),KLAQ33T007886,1912,1/25/2024 19:03,0.726,0.7223,0.5904,0.8507
Anode Overhang (Top) (mm),KLAQ33T007886,1912,1/25/2024 19:03,0.716,0.72058,0.5904,0.85009
Anode Overhang (Bottom) (mm),KLAQ33T007886,1912,1/25/2024 19:03,0.737,0.7344,0.5904,0.8507
Cathode Width (mm),KLAQ33T007886,1912,1/25/2024 19:03,57.88,57.87395,57.71522,57.98898
Core Area (mm²),KLAQ34T029175,1913,1/25/2024 19:12,13.33,13.33574,13.22034,13.47042
Anode Overhang (All) (mm),KLAQ34T029175,1913,1/25/2024 19:12,0.713,0.71295,0.504,0.93644
Anode Overhang (Top) (mm),KLAQ34T029175,1913,1/25/2024 19:12,0.6,0.61094,0.504,0.66256
Anode Overhang (Bottom) (mm),KLAQ34T029175,1913,1/25/2024 19:12,0.827,0.8208,0.76334,0.93644
Cathode Width (mm),KLAQ34T029175,1913,1/25/2024 19:12,57.92,57.91706,57.7584,58.01774
Core Area (mm²),KLAQ34T022459,1914,1/25/2024 19:22,13.45,13.43247,13.39131,13.54662
Anode Overhang (All) (mm),KLAQ34T022459,1914,1/25/2024 19:22,0.714,0.72,0.65579,0.76537
Anode Overhang (Top) (mm),KLAQ34T022459,1914,1/25/2024 19:22,0.716,0.71262,0.65579,0.76374
Anode Overhang (Bottom) (mm),KLAQ34T022459,1914,1/25/2024 19:22,0.712,0.72,0.65585,0.76537
Cathode Width (mm),KLAQ34T022459,1914,1/25/2024 19:22,57.908,57.91684,57.7152,58.01762
Core Area (mm²),LLAQ21T037016,1915,1/25/2024 19:32,13.567,13.57275,13.46378,13.66285
Anode Overhang (All) (mm),LLAQ21T037016,1915,1/25/2024 19:32,0.728,0.72058,0.56234,0.86448
Anode Overhang (Top) (mm),LLAQ21T037016,1915,1/25/2024 19:32,0.76,0.75005,0.65816,0.86448
Anode Overhang (Bottom) (mm),LLAQ21T037016,1915,1/25/2024 19:32,0.693,0.7056,0.56234,0.76374
Cathode Width (mm),LLAQ21T037016,1915,1/25/2024 19:32,57.899,57.9027,57.74402,58.00346
Core Area (mm²),KLAQ34T022457,1916,1/25/2024 19:42,13.098,13.0981,13.00251,13.19909
Anode Overhang (All) (mm),KLAQ34T022457,1916,1/25/2024 19:42,0.721,0.72,0.56178,0.89326
Anode Overhang (Top) (mm),KLAQ34T022457,1916,1/25/2024 19:42,0.802,0.79357,0.72,0.89326
Anode Overhang (Bottom) (mm),KLAQ34T022457,1916,1/25/2024 19:42,0.64,0.64816,0.56178,0.72014
Cathode Width (mm),KLAQ34T022457,1916,1/25/2024 19:42,57.9,57.90262,57.75841,58.00324
Core Area (mm²),KLAQ33T010517,1917,1/25/2024 19:51,13.041,13.04574,12.99556,13.08141
Anode Overhang (All) (mm),KLAQ33T010517,1917,1/25/2024 19:51,0.724,0.72058,0.6048,0.86448
Anode Overhang (Top) (mm),KLAQ33T010517,1917,1/25/2024 19:51,0.79,0.792,0.7174,0.86448
Anode Overhang (Bottom) (mm),KLAQ33T010517,1917,1/25/2024 19:51,0.659,0.6624,0.6048,0.73496
Cathode Width (mm),KLAQ33T010517,1917,1/25/2024 19:51,57.894,57.9024,57.72962,58.00342
Core Area (mm²),LLAQ21T037009,1918,1/25/2024 20:01,13.438,13.44014,13.39141,13.51894
Anode Overhang (All) (mm),LLAQ21T037009,1918,1/25/2024 20:01,0.726,0.72058,0.5472,0.89326
Anode Overhang (Top) (mm),LLAQ21T037009,1918,1/25/2024 20:01,0.757,0.74686,0.67695,0.89326
